Price,Company,Processor,Operating System,RAM,Type,Warranty,Inches,TouchScreen,HDD,SSD
84990,Lenovo,AMD Ryzen 7 Octa Core Processor,Windows11,16,Gaming,1 Year Carry-in Warranty,15.6,NO,,512
47490,HP,Intel Core i3 Processor (13th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows11,8,N\A,1 Year Carry-in Warranty,14,NO,,512
22990,CHUWI,Intel Core i3 Processor (10th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,,NO,,512
40990,realme,Intel Core i5 Processor (11th Gen),Windows11,8,Realme Book,1 Year Carry-in Warranty,14,NO,,512
43990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows11,16,N\A,1 Year Carry-in Warranty,14,NO,,512
69990,Lenovo,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,3 Years Onsite Warranty + 3 Years Premium Care + 1 Year Accidental Damage Protection,14,NO,,512
46990,DELL,Intel Core i3 Processor (13th Gen),64bitWindows11,8,Inspiron,,15.6,NO,,1024
9990,ASUS,Intel Celeron Dual Core Processor,64bitChrome,4,N\A,1 Year onsite warranty,11.6,NO,,
61990,ASUS,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,1 Year Onsite Warranty,15.6,NO,,512
58990,ASUS,AMD Ryzen 5 Hexa Core Processor,64bitWindows11,16,VivoBook,1 Year Onsite Warranty,15.6,NO,,512
57990,HP,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,1 Year Onsite Warranty,16.1,NO,,512
58990,HP,Intel Core i5 Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,16.1,NO,,512
57990,ASUS,Intel Core i5 Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
61990,ASUS,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,1 Year Onsite Warranty,15.6,NO,,512
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
63990,HP,Intel Core i5 Processor (12th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
29990,ASUS,Intel Core i3 Processor (11th Gen),Windows11,8,VivoBook,1 Year Onsite Warranty,15.6,NO,,256
